"(Precinct, Hour)",law_cat_cd
30.0,9,1179
30.0,10,1194
30.0,11,1230
30.0,12,1622
30.0,13,1652
30.0,14,1863
30.0,15,2044
30.0,16,1895
30.0,17,1788
30.0,18,1681
30.0,19,1706
30.0,20,1708
30.0,21,1757
30.0,22,1639
30.0,23,1173
32.0,0,1816
32.0,1,1387
32.0,2,1052
32.0,3,863
32.0,4,667
32.0,5,479
32.0,6,492
32.0,7,711
32.0,8,1077
32.0,9,1135
32.0,10,1041
32.0,11,1182
32.0,12,1534
32.0,13,1514
32.0,14,1588
32.0,15,1778
32.0,16,1700
32.0,17,1613
32.0,18,1616
32.0,19,1786
32.0,20,1818
32.0,21,1680
32.0,22,1604
32.0,23,1138
33.0,0,1640
33.0,1,1290
33.0,2,963
33.0,3,844
33.0,4,873
33.0,5,596
33.0,6,485
33.0,7,650
33.0,8,915
33.0,9,961
33.0,10,963
33.0,11,989
33.0,12,1316
33.0,13,1212
33.0,14,1308
33.0,15,1411
33.0,16,1376
33.0,17,1279
33.0,18,1383
33.0,19,1394
33.0,20,1403
33.0,21,1222
33.0,22,1092
33.0,23,912
34.0,0,2641
34.0,1,1868
34.0,2,1678
34.0,3,1565
34.0,4,1804
34.0,5,967
34.0,6,685
34.0,7,919
34.0,8,1506
34.0,9,1460
34.0,10,1351
34.0,11,1357
34.0,12,1836
34.0,13,1533
34.0,14,1553
34.0,15,1813
34.0,16,1706
34.0,17,1759
34.0,18,1743
34.0,19,1751
34.0,20,1551
34.0,21,1503
34.0,22,1400
34.0,23,1079
